order_number,order_time,symbol,direct,order_qty,order_price,turnover_qty,turnover_price,turnover_amount
0,90201,60000344,0,10,Market,10,492000,4.92e+06
1,90207,60000344,1,10,Market,10,491500,4.915e+06
2,91211,60000344,1,10,Market,10,491500,4.915e+06
3,91221,60000344,0,10,Market,10,492000,4.92e+06
4,92243,60000344,1,10,Market,10,490000,4.9e+06
5,92259,60000344,0,10,Market,10,490500,4.905e+06
6,93312,60000344,1,10,Market,10,490000,4.9e+06
7,93314,60000344,0,10,Market,10,490500,4.905e+06
8,94318,60000344,0,10,Market,10,491000,4.91e+06
9,94352,60000344,1,10,Market,10,490500,4.905e+06
10,95354,60000344,1,10,Market,10,490000,4.9e+06
11,95406,60000344,0,10,Market,10,490500,4.905e+06
12,101043,60000344,1,10,Market,10,489500,4.895e+06
13,101049,60000344,0,10,Market,10,490000,4.9e+06
14,102217,60000344,1,10,Market,10,488000,4.88e+06
15,102244,60000344,0,10,Market,10,488500,4.885e+06
16,103428,60000344,1,10,Market,10,489500,4.895e+06
17,103434,60000344,0,10,Market,10,490000,4.9e+06
18,104439,60000344,1,10,Market,10,488500,4.885e+06
19,104445,60000344,0,10,Market,10,489000,4.89e+06
20,105446,60000344,1,10,Market,10,486000,4.86e+06
21,105459,60000344,0,10,Market,10,487000,4.87e+06
22,110509,60000344,0,10,Market,10,488000,4.88e+06
23,110529,60000344,1,10,Market,10,487500,4.875e+06
24,111550,60000344,0,10,Market,10,489000,4.89e+06
25,111553,60000344,1,10,Market,10,488500,4.885e+06
26,112604,60000344,1,10,Market,10,486500,4.865e+06
27,112607,60000344,0,10,Market,10,487000,4.87e+06
28,113618,60000344,1,10,Market,10,486000,4.86e+06
29,113624,60000344,0,10,Market,10,486500,4.865e+06
30,114629,60000344,0,10,Market,10,488500,4.885e+06
31,114650,60000344,1,10,Market,10,488000,4.88e+06
32,115654,60000344,0,10,Market,10,487500,4.875e+06
33,115657,60000344,1,10,Market,10,487000,4.87e+06
34,120704,60000344,1,10,Market,10,487000,4.87e+06
35,120721,60000344,0,10,Market,10,487500,4.875e+06
36,121724,60000344,1,10,Market,10,487000,4.87e+06
37,121729,60000344,0,10,Market,10,487500,4.875e+06
38,122730,60000344,0,10,Market,10,488000,4.88e+06
39,122736,60000344,1,10,Market,10,487500,4.875e+06
